Matchup,Battles,Winrate
Battlecruiser/SiegeTankSieged vs Tempest/Zergling,1,0.0
Battlecruiser/Immortal vs Mutalisk/Stalker,1,0.0
Carrier/Zergling vs Queen/SiegeTank,1,0.0
Banshee/VoidRay vs HighTemplar/Raven,1,0.0
Marauder/Tempest vs Phoenix/VikingAssault,1,0.0
BroodLord/Infestor vs Marine/Phoenix,1,0.0
Banshee/Zealot vs Battlecruiser/Queen,1,0.0
HighTemplar/Marine vs Marauder/Raven,1,0.0
Hydralisk/VoidRay vs Phoenix/Raven,1,0.0
Marine/VoidRay vs Phoenix/Raven,1,0.0
Battlecruiser/Tempest vs Hydralisk/Infestor,1,0.0
Colossus/SwarmHostBurrowed vs Oracle/Zealot,1,0.0
Colossus/Stalker vs Cyclone/Ultralisk,1,0.0
BattleHellion/Mothership vs Hydralisk/Oracle,1,0.0
Battlecruiser/Hydralisk vs Marauder/Raven,1,0.0
Carrier/SwarmHostBurrowed vs Cyclone/Reaper,1,0.0
Banshee/Mothership vs Phoenix/Ravager,1,0.0
Battlecruiser/Liberator vs Raven/SwarmHostBurrowed,1,0.0
Colossus/SiegeTankSieged vs VikingAssault/Zergling,1,0.0
Battlecruiser/SiegeTank vs Ghost/Raven,1,0.0
Banshee/Zealot vs Carrier/Reaper,1,0.0
BattleHellion/Medivac vs Battlecruiser/Infestor,1,0.0
Baneling/Oracle vs Mutalisk/Ravager,1,0.0
Oracle/Tempest vs Queen/VoidRay,1,0.0
Ghost/Queen vs Marine/Roach,1,0.0
Adept/Stalker vs Baneling/WidowMine,1,0.0
BroodLord/VoidRay vs Raven/Tempest,1,0.0
Immortal/VoidRay vs Queen/Raven,1,0.0
BattleHellion/Stalker vs DarkTemplar/VikingAssault,1,0.0
Oracle/Zergling vs Raven/Reaper,1,0.0
DarkTemplar/Marine vs Oracle/Raven,1,0.0
Banshee/Liberator vs Hydralisk/VoidRay,1,0.0
BattleHellion/LurkerBurrowed vs Immortal/Roach,1,0.0
Ghost/VikingAssault vs Immortal/ThorAP,1,0.0
Battlecruiser/Viking vs Raven/Zealot,1,0.0
Adept/Colossus vs Cyclone/Raven,1,0.0
Adept/Ultralisk vs Lurker/Ravager,1,0.0
Carrier/LurkerBurrowed vs Infestor/ThorAP,1,0.0
Archon/Carrier vs Colossus/Stalker,1,0.0
HighTemplar/Zergling vs Reaper/WidowMine,1,0.0
Battlecruiser/Infestor vs Ghost/Raven,1,0.0
Hydralisk/VikingAssault vs Ravager/Roach,1,0.0
Banshee/Zergling vs Colossus/HighTemplar,1,0.0
Immortal/Phoenix vs Marauder/Queen,1,0.0
Banshee/Immortal vs Ghost/Mothership,1,0.0
Banshee/Stalker vs Hydralisk/Raven,1,0.0
Archon/Stalker vs Banshee/DarkTemplar,1,0.0
Hellion/Viking vs Tempest/Thor,1,0.0
Mothership/Tempest vs Ravager/Raven,1,0.0
Archon/Zealot vs Ghost/SiegeTank,1,0.0
Battlecruiser/SiegeTankSieged vs Immortal/ThorAP,1,0.0
Colossus/Lurker vs Oracle/Raven,1,0.0
HighTemplar/Mutalisk vs Lurker/Thor,1,0.0
Colossus/Roach vs Liberator/LurkerBurrowed,1,0.0
BattleHellion/HighTemplar vs Immortal/Mothership,1,0.0
Carrier/Phoenix vs Ghost/Stalker,1,0.0
Corruptor/SwarmHostBurrowed vs HighTemplar/Ravager,1,0.0
BroodLord/Colossus vs LurkerBurrowed/Mutalisk,1,0.0
Cyclone/Thor vs DarkTemplar/LiberatorAG,1,0.0
Adept/Stalker vs Battlecruiser/BroodLord,1,0.0
Colossus/Roach vs Infestor/VoidRay,1,0.0
Hellion/Tempest vs Mutalisk/VoidRay,1,0.0
DarkTemplar/Marauder vs Marine/Oracle,1,0.0
Adept/SwarmHostBurrowed vs Archon/VikingAssault,1,0.0
Adept/Corruptor vs Cyclone/Marine,1,0.0
Banshee/Marauder vs Corruptor/Ghost,1,0.0
Ghost/Hydralisk vs Mutalisk/Ultralisk,1,0.0
Archon/Raven vs HighTemplar/Tempest,1,0.0
Adept/HighTemplar vs BroodLord/Ultralisk,1,0.0
Baneling/Colossus vs BattleHellion/Carrier,1,0.0
Adept/Ravager vs DarkTemplar/Zergling,1,0.0
Adept/Infestor vs BroodLord/Carrier,1,0.0
Colossus/Queen vs DarkTemplar/Tempest,1,0.0
LurkerBurrowed/Mutalisk vs Raven/Stalker,1,0.0
DarkTemplar/LurkerBurrowed vs Ghost/Immortal,1,0.0
Raven/Viking vs SiegeTank/Tempest,1,0.0
Banshee/Tempest vs Corruptor/Liberator,1,0.0
BattleHellion/VoidRay vs HighTemplar/Phoenix,1,0.0
Corruptor/Mothership vs HighTemplar/VoidRay,1,0.0
BattleHellion/Ravager vs DarkTemplar/Oracle,1,0.0
BroodLord/Ravager vs Infestor/Raven,1,0.0
Archon/VoidRay vs HighTemplar/Ravager,1,0.0
LiberatorAG/Ravager vs Marine/Oracle,1,0.0
Archon/Colossus vs Queen/ThorAP,1,0.0
Colossus/HighTemplar vs LiberatorAG/Ultralisk,1,0.0
Battlecruiser/ThorAP vs Cyclone/Infestor,1,0.0
BattleHellion/Viking vs Carrier/Phoenix,1,0.0
Adept/Battlecruiser vs BattleHellion/ThorAP,1,0.0
Baneling/BroodLord vs Immortal/Phoenix,1,0.0
Archon/BroodLord vs Roach/ThorAP,1,0.0
Battlecruiser/DarkTemplar vs Corruptor/SwarmHostBurrowed,1,0.5
DarkTemplar/Marauder vs Infestor/Tempest,1,0.5
Adept/Baneling vs Corruptor/Tempest,1,0.5
BroodLord/Corruptor vs Queen/Ravager,1,0.5
BroodLord/Phoenix vs Marauder/Tempest,1,0.5
Adept/Phoenix vs Cyclone/DarkTemplar,1,0.5
Ravager/Tempest vs Stalker/Viking,1,0.5
Colossus/Roach vs LiberatorAG/Marine,1,0.5
DarkTemplar/SwarmHostBurrowed vs Hellion/Liberator,1,0.5
BroodLord/Roach vs Infestor/Marauder,1,0.5
DarkTemplar/Hellion vs Mothership/Raven,1,0.5
Tempest/VoidRay vs Thor/Zergling,1,0.5
BattleHellion/DarkTemplar vs Battlecruiser/Phoenix,1,0.5
Carrier/Queen vs SwarmHostBurrowed/Zergling,1,0.5
Adept/Carrier vs BroodLord/ThorAP,1,0.5
DarkTemplar/Tempest vs HighTemplar/Queen,1,0.5
Carrier/HighTemplar vs Stalker/Ultralisk,1,0.5
Adept/DarkTemplar vs Banshee/Immortal,1,0.5
DarkTemplar/Marauder vs SwarmHostBurrowed/Tempest,1,0.5
Archon/Corruptor vs DarkTemplar/Ravager,1,0.5
Carrier/Zealot vs DarkTemplar/VoidRay,1,0.5
BroodLord/Oracle vs Corruptor/Stalker,1,0.5
Battlecruiser/HighTemplar vs DarkTemplar/VoidRay,1,0.5
DarkTemplar/Phoenix vs Stalker/Viking,1,0.5
Battlecruiser/Cyclone vs Mothership/Ultralisk,1,0.5
Battlecruiser/Queen vs Infestor/Oracle,1,0.5
Hellion/Ultralisk vs HighTemplar/Raven,1,0.5
DarkTemplar/Zealot vs Roach/ThorAP,1,0.5
Archon/Corruptor vs Banshee/Immortal,1,0.5
BroodLord/DarkTemplar vs Mutalisk/VoidRay,1,0.5
BattleHellion/BroodLord vs Mothership/Reaper,1,0.5
Marauder/Stalker vs Marine/Phoenix,1,0.5
Battlecruiser/WidowMineBurrowed vs DarkTemplar/SwarmHostBurrowed,1,0.5
Battlecruiser/Cyclone vs DarkTemplar/HighTemplar,1,0.5
BroodLord/DarkTemplar vs Carrier/VoidRay,1,0.5
Baneling/Immortal vs Corruptor/Marauder,1,0.5
BroodLord/DarkTemplar vs HighTemplar/Viking,1,0.5
