Matchup,Battles,Winrate
Baneling/Roach vs SiegeTankSieged/ThorAP,1,1.0
DarkTemplar/Stalker vs HighTemplar/Ravager,1,1.0
Archon/Immortal vs Baneling/Stalker,1,1.0
Ghost/Thor vs Infestor/Raven,1,1.0
Colossus/Oracle vs Hydralisk/Thor,1,1.0
Battlecruiser/Hydralisk vs Colossus/Viking,1,1.0
BroodLord/Immortal vs HighTemplar/ThorAP,1,1.0
Ghost/Marine vs HighTemplar/Infestor,1,1.0
Archon/Ultralisk vs Marauder/Ravager,1,1.0
Carrier/Zergling vs Hydralisk/SwarmHostBurrowed,1,1.0
Cyclone/Liberator vs Marauder/SiegeTank,1,1.0
BroodLord/Oracle vs SiegeTank/Thor,1,1.0
Liberator/Mutalisk vs Raven/Zealot,1,1.0
Archon/DarkTemplar vs Hellion/WidowMineBurrowed,1,1.0
Colossus/Raven vs DarkTemplar/Oracle,1,1.0
Cyclone/Queen vs LiberatorAG/Zealot,1,1.0
Adept/Ravager vs BattleHellion/Stalker,1,1.0
Ghost/Hellion vs Immortal/LiberatorAG,1,1.0
Battlecruiser/LurkerBurrowed vs Ghost/SwarmHostBurrowed,1,1.0
Adept/Carrier vs Liberator/Stalker,1,1.0
Colossus/Marine vs Hellion/Infestor,1,1.0
Liberator/Ravager vs Ultralisk/Zealot,1,1.0
Hellion/Immortal vs SwarmHostBurrowed/Zergling,1,1.0
Carrier/DarkTemplar vs Colossus/Marine,1,1.0
Battlecruiser/Mothership vs HighTemplar/Immortal,1,1.0
Carrier/Raven vs HighTemplar/Roach,1,1.0
Adept/Queen vs Hellion/Reaper,1,1.0
Baneling/Liberator vs Infestor/Reaper,1,1.0
Carrier/DarkTemplar vs HighTemplar/Reaper,1,1.0
Colossus/Hellion vs Roach/ThorAP,1,1.0
Archon/VikingAssault vs Battlecruiser/Ravager,1,1.0
Archon/Marine vs SwarmHostBurrowed/VoidRay,1,1.0
Adept/ThorAP vs Baneling/Roach,1,1.0
Battlecruiser/Liberator vs Lurker/Phoenix,1,1.0
Infestor/Tempest vs Mothership/Mutalisk,1,1.0
DarkTemplar/Infestor vs Mutalisk/Zealot,1,1.0
Archon/Marine vs HighTemplar/Phoenix,1,1.0
Banshee/SwarmHostBurrowed vs Marine/Stalker,1,1.0
Archon/SiegeTank vs HighTemplar/VoidRay,1,1.0
Carrier/Marauder vs Colossus/Marine,1,1.0
Baneling/ThorAP vs BroodLord/Queen,1,1.0
Archon/Ghost vs Battlecruiser/SiegeTankSieged,1,1.0
Adept/Raven vs Cyclone/SwarmHostBurrowed,1,1.0
Cyclone/Raven vs LurkerBurrowed/Phoenix,1,1.0
Baneling/Cyclone vs Marine/Ravager,1,1.0
Battlecruiser/Ravager vs Hellion/Mothership,1,1.0
DarkTemplar/Infestor vs Marauder/Queen,1,1.0
Corruptor/Zergling vs Raven/WidowMineBurrowed,1,1.0
Immortal/Queen vs ThorAP/VoidRay,1,1.0
Baneling/Stalker vs Marauder/Ultralisk,1,1.0
Banshee/VikingAssault vs Marine/Roach,1,1.0
