Hand,Battles,Winrate
Immortal/Viking,13,0.15384615384615385
Colossus/Reaper,13,0.15384615384615385
Reaper/Roach,16,0.15625
Hydralisk/VikingAssault,16,0.15625
Immortal/Marauder,19,0.15789473684210525
SwarmHostBurrowed/Viking,9,0.16666666666666666
Thor/Zergling,6,0.16666666666666666
Banshee/LurkerBurrowed,9,0.16666666666666666
Colossus/Hydralisk,12,0.16666666666666666
Lurker/Queen,6,0.16666666666666666
Battlecruiser/LiberatorAG,6,0.16666666666666666
LiberatorAG/Zealot,3,0.16666666666666666
Ravager/SwarmHostBurrowed,15,0.16666666666666666
Hellion/WidowMineBurrowed,6,0.16666666666666666
Adept/Zergling,9,0.16666666666666666
Marauder/SiegeTank,3,0.16666666666666666
BroodLord/SiegeTank,3,0.16666666666666666
Phoenix/WidowMineBurrowed,6,0.16666666666666666
VoidRay/WidowMineBurrowed,6,0.16666666666666666
Immortal/WidowMineBurrowed,6,0.16666666666666666
Medivac/ThorAP,3,0.16666666666666666
Hellion/LiberatorAG,3,0.16666666666666666
Marauder/VikingAssault,6,0.16666666666666666
Medivac/Ravager,3,0.16666666666666666
Banshee/Marauder,14,0.17857142857142858
SwarmHostBurrowed/Zealot,11,0.18181818181818182
Immortal/Zealot,11,0.18181818181818182
Marine/Reaper,11,0.18181818181818182
Marine/Viking,8,0.1875
Mutalisk/Viking,8,0.1875
Marauder/Reaper,16,0.1875
Colossus/Roach,24,0.1875
Marauder/Medivac,8,0.1875
LiberatorAG/Ravager,8,0.1875
Battlecruiser/Viking,13,0.19230769230769232
HighTemplar/Reaper,25,0.2
Liberator/Lurker,5,0.2
Ravager/WidowMineBurrowed,10,0.2
Colossus/WidowMineBurrowed,10,0.2
Marauder/Roach,10,0.2
Banshee/Viking,5,0.2
LiberatorAG/Mutalisk,5,0.2
Immortal/SiegeTankSieged,5,0.2
LurkerBurrowed/SwarmHostBurrowed,5,0.2
Lurker/Ultralisk,5,0.2
LiberatorAG/Marine,5,0.2
BattleHellion/Mothership,5,0.2
Phoenix/Viking,10,0.2
Reaper/Ultralisk,17,0.20588235294117646
Baneling/Hellion,12,0.20833333333333334
Cyclone/Marauder,19,0.21052631578947367
Ghost/SwarmHostBurrowed,19,0.21052631578947367
Marauder/Zergling,7,0.21428571428571427
Ravager/Viking,7,0.21428571428571427
BattleHellion/Immortal,14,0.21428571428571427
Mothership/Zergling,7,0.21428571428571427
Roach/Viking,7,0.21428571428571427
Marauder/Mothership,7,0.21428571428571427
Mutalisk/SiegeTankSieged,7,0.21428571428571427
Ghost/LiberatorAG,7,0.21428571428571427
BattleHellion/Zealot,14,0.21428571428571427
Viking/Zergling,7,0.21428571428571427
